测量结果	k值
01	-0.5
001	-0.388
0001	-0.378
00001	-0.377
010	0.842
0010	0.89
00010	0.894
000010	0.894
011	-0.178
0011	0
00011	0.026
000011	0.028
0100	0.299
00100	0.314
000100	0.315
0000100	0.315
0101	-0.5
00101	-0.439
000101	-0.432
0000101	-0.432
0110	1
00110	1.122
000110	1.139
0000110	1.14
0111	0.194
00111	0.449
000111	0.5
0000111	0.506
01000	-0.157
001000	-0.154
0001000	-0.154
00001000	-0.154
01001	-0.878
001001	-0.861
0001001	-0.86
00001001	-0.86
01010	0.701
001010	0.737
0001010	0.741
00001010	0.741
01011	0.084
001011	0.169
0001011	0.181
00001011	0.182
01100	0.305
001100	0.372
0001100	0.38
00001100	0.381
01101	-0.305
001101	-0.169
0001101	-0.144
00001101	-0.142
01110	1.288
001110	1.5
0001110	1.544
00001110	1.549
01111	0.555
001111	0.897
0001111	0.985
00001111	1
010000	-0.547
0010000	-0.547
00010000	-0.547
000010000	-0.547
010001	-1.25
0010001	-1.247
00010001	-1.246
000010001	-1.246
010010	0.372
0010010	0.38
00010010	0.381
000010010	0.381
010011	-0.169
0010011	-0.144
00010011	-0.142
000010011	-0.142
010100	0.022
0010100	0.039
00010100	0.04
000010100	0.04
010101	-0.5
0010101	-0.458
00010101	-0.453
000010101	-0.453
010110	1.169
0010110	1.237
00010110	1.247
000010110	1.248
010111	0.611
0010111	0.732
00010111	0.756
000010111	0.758
011000	-0.296
0011000	-0.266
00011000	-0.263
000011000	-0.263
011001	-0.831
0011001	-0.763
00011001	-0.753
000011001	-0.752
011010	0.831
0011010	0.935
00011010	0.952
000011010	0.954
011011	0.296
0011011	0.463
00011011	0.5
000011011	0.504
011100	0.5
0011100	0.648
00011100	0.678
000011100	0.681
011101	-0.043
0011101	0.187
00011101	0.244
000011101	0.252
011110	1.603
0011110	1.917
00011110	2
000011110	2.014
011111	0.893
0011111	1.329
00011111	1.465
000011111	1.496
10	0.5
110	0.388
1110	0.378
11110	0.377
101	-0.842
1101	-0.89
11101	-0.894
111101	-0.894
100	0.178
1100	0
11100	-0.026
111100	-0.028
1011	-0.299
11011	-0.314
111011	-0.315
1111011	-0.315
1010	0.5
11010	0.439
111010	0.432
1111010	0.432
1001	-1
11001	-1.122
111001	-1.139
1111001	-1.14
1000	-0.194
11000	-0.449
111000	-0.5
1111000	-0.506
10111	0.157
110111	0.154
1110111	0.154
11110111	0.154
10110	0.878
110110	0.861
1110110	0.86
11110110	0.86
10101	-0.701
110101	-0.737
1110101	-0.741
11110101	-0.741
10100	-0.084
110100	-0.169
1110100	-0.181
11110100	-0.182
10011	-0.305
110011	-0.372
1110011	-0.38
11110011	-0.381
10010	0.305
110010	0.169
1110010	0.144
11110010	0.142
10001	-1.288
110001	-1.5
1110001	-1.544
11110001	-1.549
10000	-0.555
110000	-0.897
1110000	-0.985
11110000	-1
101111	0.547
1101111	0.547
11101111	0.547
111101111	0.547
101110	1.25
1101110	1.247
11101110	1.246
111101110	1.246
101101	-0.372
1101101	-0.38
11101101	-0.381
111101101	-0.381
101100	0.169
1101100	0.144
11101100	0.142
111101100	0.142
101011	-0.022
1101011	-0.039
11101011	-0.04
111101011	-0.04
101010	0.5
1101010	0.458
11101010	0.453
111101010	0.453
101001	-1.169
1101001	-1.237
11101001	--1.247
111101001	-1.248
101000	-0.611
1101000	-0.732
11101000	-0.756
111101000	-0.758
100111	0.296
1100111	0.266
11100111	0.263
111100111	0.263
100110	0.831
1100110	0.763
11100110	0.753
111100110	0.752
100101	-0.831
1100101	-0.935
11100101	-0.952
111100101	-0.954
100100	-0.296
1100100	-0.463
11100100	-0.5
111100100	-0.504
100011	-0.5
1100011	-0.648
11100011	-0.678
111100011	-0.681
100010	0.043
1100010	-0.187
11100010	-0.244
111100010	-0.252
100001	-1.603
1100001	-1.917
11100001	-2
111100001	-2.014
100000	-0.983
1100000	-1.329
11100000	-1.465
111100000	-1.496
